12/02/16,68.4365,98.9797,77.3606,60.94
11/02/16,68.0155,98.8061,76.8439,60.54
10/02/16,67.8781,98.2943,76.648,59.21
09/02/16,68.1623,98.2696,76.3827,59.39
08/02/16,67.819,98.3308,75.5368,57.75
05/02/16,67.6365,98.472,75.7326,57.91
04/02/16,67.8093,98.7914,75.1327,57.42
03/02/16,68.1825,98.3192,74.4553,56.98
02/02/16,67.834,97.6131,73.9323,56.21
01/02/16,67.6728,96.5149,73.4115,55.78
29/01/2016,67.8763,97.7554,74.0666,56.26
28/01/2016,68.0858,97.0155,74.0637,57.36
27/01/2016,67.9803,97.5109,73.813,57.45
25/01/2016,67.6428,96.736,73.1219,56.93
22/01/2016,67.748,96.4461,73.405,57.38
21/01/2016,68.06,96.5567,74.165,58.3
20/01/2016,67.9774,96.2016,74.4828,58.24
19/01/2016,67.563,96.4192,73.5018,57.37
18/01/2016,67.588,96.4819,73.6101,57.68
15/01/2016,67.4325,97.1095,73.3868,57.25
14/01/2016,67.095,96.6369,72.9725,57.01
13/01/2016,66.8394,96.603,72.4272,56.57
12/01/16,66.8905,97.1518,72.7434,56.91
11/01/16,66.7885,97.057,72.9264,56.93
08/01/16,66.669,97.4501,72.5292,56.32
07/01/16,66.9115,97.8514,72.3782,56.78
06/01/16,66.7165,97.773,71.7002,56.19
05/01/16,66.5418,97.9562,72.0315,55.71
04/01/16,66.4623,97.9455,72.3907,55.65
01/01/16,66.178,97.6059,71.8627,55.01
31/12/2015,66.326,98.3482,72.501,55.09
30/12/2015,66.4243,98.5471,72.6018,55.17
29/12/2015,66.37,98.9112,72.8477,55.16
28/12/2015,66.138,98.6911,72.5534,54.92
23/12/2015,66.202,98.2967,72.4117,54.74
22/12/2015,66.2985,98.7052,72.3317,54.68
21/12/2015,66.324,98.9886,72.134,54.67
18/12/2015,66.4235,99.1703,72.1359,54.48
17/12/2015,66.6488,99.6133,72.3273,54.43
16/12/2015,66.8468,100.5777,73.1571,54.84
15/12/2015,67.0435,101.6715,73.9289,55.49
14/12/2015,66.994,101.784,73.4656,55.29
11/12/15,66.786,101.1006,73.104,54.75
10/12/15,66.7905,101.3679,73.4629,54.91
09/12/15,66.75,100.2919,72.891,54.4
08/12/15,66.7983,100.4914,72.5162,54.27
07/12/15,66.6263,100.6524,72.4028,54.05
04/12/15,66.8365,101.0434,73.0456,54.51
03/12/15,66.745,99.6102,70.6696,54.08
02/12/15,66.6158,100.3434,70.666,54.12
01/12/15,66.518,100.4355,70.4359,54.13
30/11/2015,66.8148,100.3692,70.6834,54.41
27/11/2015,66.7503,100.6795,70.8755,54.53
26/11/2015,66.5507,100.6446,70.6968,54.3
24/11/2015,66.384,100.4523,70.5529,54.1
23/11/2015,66.349,100.6647,70.4693,53.87
20/11/2015,66.094,101.0379,70.8594,53.82
19/11/2015,66.1105,101.0301,70.7779,53.62
18/11/2015,66.1138,100.5128,70.3914,53.63
17/11/2015,65.9805,100.1056,70.3484,53.48
16/11/2015,66.169,100.6563,70.9729,54.05
13/11/2015,66.139,100.5511,71.2648,53.9
10/11/15,66.3495,100.2806,71.2992,53.8
09/11/15,66.3378,100.0308,71.4458,53.79
06/11/15,65.791,99.9497,71.5477,54
05/11/15,65.6755,101.0221,71.3499,54.05
04/11/15,65.568,101.1255,71.797,54.17
03/11/15,65.451,100.9647,72.1008,54.24
02/11/15,65.4793,101.0608,72.2171,54.38
30/10/2015,65.2231,99.9348,71.6671,53.92
29/10/2015,65.1515,99.3626,71.2497,53.93
28/10/2015,65.0408,99.584,71.753,54.01
27/10/2015,64.9553,99.7324,71.8406,53.83
26/10/2015,64.9603,99.5452,71.6447,53.63
23/10/2015,64.8815,99.8851,72.0639,53.79
21/10/2015,65.1513,100.535,73.9728,54.31
20/10/2015,64.8908,100.3926,73.5213,54.33
19/10/2015,64.8178,100.1176,73.7497,54.36
16/10/2015,64.9697,100.5536,73.994,54.54
15/10/2015,64.824,100.4124,74.5022,54.61
14/10/2015,65.1123,99.4981,74.241,54.41
13/10/2015,65.0215,99.886,73.9164,54.26
12/10/15,64.726,99.2962,73.5999,53.86
09/10/15,64.7848,99.5418,73.0837,53.96
08/10/15,65.157,99.7814,73.3277,54.41
07/10/15,65.2571,99.5301,73.4664,54.34
06/10/15,65.3908,99.054,73.1919,54.41
05/10/15,65.2905,99.3134,73.3931,54.39
01/10/15,65.554,99.1701,73.0796,54.54
30/09/2015,65.7418,99.5331,73.7952,54.8
29/09/2015,66.1843,100.4611,74.6096,55.42
28/09/2015,66.0805,100.3168,73.8119,54.92
24/09/2015,66.0993,100.8874,73.9585,55.08
23/09/2015,65.9696,101.1908,73.378,54.92
22/09/2015,65.625,101.7319,73.2638,54.5
21/09/2015,65.7531,102.1672,74.3799,54.83
18/09/2015,65.9255,102.7515,75.1287,55.01
16/09/2015,66.5,101.9977,75.0253,55.34
15/09/2015,66.4383,102.408,75.0487,55.55
14/09/2015,66.3708,102.5429,75.3242,55.18
11/09/15,66.3866,102.5939,74.8974,55
10/09/15,66.584,102.293,74.7139,55.14
09/09/15,66.2945,101.888,73.9847,55.07
08/09/15,66.606,102.3002,74.6054,55.6
07/09/15,66.7445,101.3649,74.2733,55.93
04/09/15,66.4003,101.1941,73.8903,55.57
03/09/15,66.228,101.2229,74.3343,54.98
02/09/15,66.1638,101.2174,74.6063,55.09
01/09/15,66.2603,101.9945,74.788,55.05
31/08/2015,66.3062,102.3105,74.495,54.75
28/08/2015,66.0808,101.923,74.3673,54.54
27/08/2015,66.0605,102.3475,74.9655,55.08
26/08/2015,66.161,103.8794,75.8867,55.28
25/08/2015,66.709,105.1,77.1089,56.01
24/08/2015,66.5093,104.0072,76.2729,54.97
21/08/2015,65.8298,103.3857,74.2692,53.55
20/08/2015,65.2385,102.2092,72.5713,52.59
19/08/2015,65.2525,102.2507,72.1954,52.5
17/08/2015,65.22,102.2324,72.3942,52.42
14/08/2015,65.1225,101.6171,72.5595,52.35
13/08/2015,64.9212,101.4394,72.2573,52.16
12/08/15,64.827,101.0005,71.8218,51.91
11/08/15,64.1732,99.8471,70.3595,51.37
10/08/15,63.759,98.7563,69.8799,51.22
07/08/15,63.8061,98.925,69.6571,51.13
06/08/15,63.7603,99.6,69.7091,51.11
05/08/15,63.8159,99.1508,69.3104,51.29
04/08/15,63.9315,99.8226,70.0497,51.59
03/08/15,63.9623,99.9347,70.1602,51.56
31/07/2015,64.0054,99.8356,70.1627,51.55
30/07/2015,64.0061,99.8303,70.0739,51.53
29/07/2015,63.8943,99.7134,70.6288,51.75
28/07/2015,64.027,99.7156,70.8843,51.84
27/07/2015,64.0028,99.4348,70.6143,51.85
24/07/2015,63.8916,99.1023,70.121,51.56
23/07/2015,63.7138,99.5719,69.6264,51.37
22/07/2015,63.5283,99.1931,69.6016,51.38
21/07/2015,63.6506,99.1358,68.9081,51.17
20/07/2015,63.551,99.1014,68.8321,51.2
17/07/2015,63.4928,99.4297,69.1437,51.2
16/07/2015,63.4955,99.1736,69.3942,51.28
15/07/2015,63.3847,99.1337,69.6851,51.34
14/07/2015,63.4978,98.1993,69.7269,51.48
13/07/2015,63.4655,98.4731,70.6942,51.77
10/07/15,63.3793,97.6548,70.4334,51.97
09/07/15,63.5065,97.8508,70.4986,52.3
08/07/15,63.569,98.2205,69.9323,52.17
07/07/15,63.3749,98.8585,69.9659,51.67
06/07/15,63.5785,99.1062,70.2924,51.89
03/07/15,63.3963,98.9426,70.3319,51.49
02/07/15,63.5705,99.2018,70.3535,51.52
01/07/15,63.6223,99.8934,70.7671,51.85
30/06/2015,63.7549,100.1207,71.2015,52.07
29/06/2015,63.917,100.4008,70.411,52.17
26/06/2015,63.6042,100.0939,71.2303,51.54
25/06/2015,63.6121,99.7947,71.1692,51.4
24/06/2015,63.66,100.5,71.3119,51.38
23/06/2015,63.6406,100.4121,71.6275,51.46
22/06/2015,63.5098,100.9361,72.3186,51.73
19/06/2015,63.8195,101.256,72.3585,51.83
18/06/2015,63.8495,100.9971,72.4564,51.89
17/06/2015,64.1135,100.3184,72.1662,51.91
16/06/2015,64.1505,100.0363,72.272,51.91
15/06/2015,64.0868,99.5717,71.8413,51.93
12/06/15,64.0301,99.2723,71.8994,51.85
11/06/15,63.891,98.8969,72.3118,51.85
10/06/15,63.8849,98.4722,72.1452,51.94
09/06/15,63.936,98.2696,72.3692,51.46
08/06/15,64.11,97.8447,71.1172,51.06
05/06/15,63.8955,97.9774,71.8185,51.33
04/06/15,64.1775,98.3007,72.251,51.6
03/06/15,63.8515,98.1206,71.2838,51.52
02/06/15,63.833,97.1028,69.7376,51.21
01/06/15,63.6083,97.2698,69.6256,51.2
29/05/2015,63.7615,97.7974,69.9081,51.48
28/05/2015,63.901,98.1647,69.7352,51.6
27/05/2015,63.9475,98.639,69.8562,52.02
26/05/2015,63.845,98.3788,69.6421,52.11
25/05/2015,63.6228,98.5072,69.9342,52.34
22/05/2015,63.5728,99.6694,70.9282,52.66
21/05/2015,63.7,98.9197,70.6688,52.59
20/05/2015,63.8655,98.8893,70.731,52.76
19/05/2015,63.6868,99.7272,71.9024,53.09
18/05/2015,63.5543,99.8629,72.6743,53.12
15/05/2015,63.5788,100.2956,72.3781,53.2
14/05/2015,63.838,100.647,72.8775,53.68
13/05/2015,64.1895,100.5785,72.0784,53.54
12/05/15,64.202,100.0331,71.9127,53.43
11/05/15,63.8495,98.4687,71.5114,53.25
08/05/15,64.0493,99.0394,71.7608,53.41
07/05/15,63.88,97.2062,72.5102,53.47
06/05/15,63.6425,96.8066,71.5087,53.1
05/05/15,63.5194,95.9588,70.5383,52.86
30/04/2015,63.578,97.9864,70.5334,53.53
29/04/2015,63.2025,97.0095,69.3395,53.08
28/04/2015,63.3305,96.5157,68.9289,53.2
27/04/2015,63.6115,96.5559,69.1839,53.45
24/04/2015,63.4006,95.4242,68.4853,53.04
23/04/2015,63.185,94.9355,67.6585,52.75
22/04/2015,62.8183,93.8505,67.5862,52.55
21/04/2015,62.92,93.5746,67.3433,52.65
20/04/2015,62.5633,93.5634,67.4933,52.74
17/04/2015,62.346,93.095,67.1342,52.41
16/04/2015,62.3685,92.4426,66.5597,52.27
15/04/2015,62.4026,92.1499,66.4837,52.19
13/04/2015,62.3885,91.056,66.163,51.83
10/04/15,62.366,91.6032,66.4884,51.74
09/04/15,62.256,92.4937,66.9937,51.77
08/04/15,62.3295,92.5281,67.5963,51.98
07/04/15,62.3321,92.8312,68.0791,52.14
06/04/15,62.158,92.7335,68.2308,52.23
31/03/2015,62.5908,92.4591,67.5104,52.11
30/03/2015,62.6305,92.9437,68.0606,52.52
27/03/2015,62.6069,92.9525,68.1476,52.53
26/03/2015,62.6728,93.2634,68.8523,52.75
25/03/2015,62.3419,92.6463,68.121,52.07
24/03/2015,62.1988,92.9312,68.033,51.99
23/03/2015,62.2879,93.0207,67.3644,51.95
20/03/2015,62.4923,92.2636,66.8043,51.79
19/03/2015,62.4208,92.9945,67.2896,51.79
18/03/2015,62.672,92.46,66.3383,51.64
17/03/2015,62.692,92.991,66.372,51.69
16/03/2015,62.8215,92.825,66.1699,51.84
13/03/2015,62.6733,93.1639,66.4212,51.6
12/03/15,62.5665,93.5682,65.9451,51.57
11/03/15,62.745,94.6006,67.0995,51.74
10/03/15,62.6983,94.549,67.6577,51.47
09/03/15,62.616,94.3936,67.9634,51.76
05/03/15,62.2015,94.7142,68.602,51.89
04/03/15,61.8543,94.9649,69.0974,51.7
03/03/15,61.8387,95.1388,69.247,51.68
02/03/15,61.8248,95.2658,69.1387,51.62
27/02/2015,61.7908,95.4235,69.286,51.85
26/02/2015,61.9395,96.2416,70.388,52.06
25/02/2015,62.0468,96.0298,70.4293,52.28
24/02/2015,62.2758,96.2099,70.6021,52.24
23/02/2015,62.1838,95.7071,70.7589,52.28
20/02/2015,62.255,96.0097,70.7217,52.35
18/02/2015,62.245,95.571,71.0091,52.32
16/02/2015,62.2023,95.9968,71.0039,52.46
13/02/2015,62.136,95.7764,71.0525,52.34
12/02/15,62.43,95.0185,70.6333,51.95
11/02/15,62.1536,94.7221,70.333,52
10/02/15,61.9634,94.4136,70.2045,52.25
09/02/15,62.141,94.7899,70.3809,52.29
06/02/15,61.7363,94.6541,70.7868,52.63
05/02/15,61.8748,94.0683,70.1908,52.8
04/02/15,61.68,93.5316,70.747,52.42
03/02/15,61.7389,92.7071,69.9378,52.76
02/02/15,61.884,93.2716,69.9413,52.61
30/01/2015,61.7575,93.1303,70.0268,52.4
29/01/2015,61.4998,93.123,69.3287,52.25
28/01/2015,61.4105,93.1843,69.8237,52.06
27/01/2015,61.464,92.7676,69.0302,52
23/01/2015,61.4988,92.1621,69.6166,51.95
22/01/2015,61.691,93.3261,71.4875,52.17
21/01/2015,61.614,93.4931,71.3798,52.39
20/01/2015,61.8475,93.266,71.5699,52.23
19/01/2015,61.699,93.4123,71.3302,52.68
16/01/2015,61.8933,93.9231,72.0067,53.08
15/01/2015,61.7588,94.0154,72.6345,52.4
14/01/2015,62.153,94.2426,73.297,53.08
13/01/2015,62.1021,94.0971,73.4171,52.28
12/01/15,62.1605,94.2788,73.7348,52.62
09/01/15,62.3953,94.167,73.614,52.23
08/01/15,62.967,94.9731,74.427,52.53
07/01/15,63.4495,95.9864,75.2765,53.3
06/01/15,63.385,96.7192,75.7958,53.25
05/01/15,63.3888,96.8454,75.6672,52.61
02/01/15,63.2878,98.3872,76.3061,52.59
01/01/15,63.3213,98.6356,76.5998,52.91
31/12/2014,63.3315,98.5818,77.0048,52.93
30/12/2014,63.7498,98.8759,77.3221,53
29/12/2014,63.6539,99.1409,77.6005,52.9
26/12/2014,63.6355,98.9787,77.7435,52.93
24/12/2014,63.4614,98.5111,77.3087,52.73
23/12/2014,63.4475,98.8829,77.6217,52.82
22/12/2014,63.1757,98.851,77.4155,52.88
19/12/2014,63.067,98.7314,77.4589,52.8
18/12/2014,63.3161,98.6781,78.1067,53.39
17/12/2014,63.5813,99.9816,79.394,54.34
16/12/2014,63.4135,99.3055,79.0005,54.09
15/12/2014,62.6529,98.5342,78.0154,52.94
12/12/14,62.4422,98.1529,77.3846,52.49
11/12/14,62.2059,97.8001,77.4837,52.68
10/12/14,61.95,97.1562,76.7499,51.98
09/12/14,61.875,96.9024,76.2919,51.61
08/12/14,61.9253,96.3743,76.1,50.98
05/12/14,61.8535,96.7265,76.5313,51.51
04/12/14,61.8771,97.0171,76.1274,51.6
03/12/14,61.8866,96.8278,76.5723,51.93
02/12/14,61.9255,97.3902,77.2149,52.31
01/12/14,62.1377,97.0529,77.3677,52.26
28/11/2014,61.9736,97.3667,77.1633,52.45
27/11/2014,61.865,97.691,77.3746,52.71
26/11/2014,61.8658,97.2283,77.2147,52.56
25/11/2014,61.9195,97.1207,76.9288,52.52
24/11/2014,61.7798,96.7842,76.5946,52.41
21/11/2014,61.8505,97.0125,77.6224,52.53
20/11/2014,62.1044,97.3176,77.91,52.34
19/11/2014,61.828,96.5568,77.421,52.71
18/11/2014,61.808,96.7666,77.0931,52.97
17/11/2014,61.678,96.9393,77.3565,53.28
14/11/2014,61.6475,96.54,76.6957,53.04
13/11/2014,61.556,97.0984,76.6126,53.18
12/11/14,61.4785,97.923,76.7866,53.34
11/11/14,61.55,97.526,76.482,53.43
10/11/14,61.4513,97.7567,76.6789,53.86
07/11/14,61.5205,97.3931,76.1562,53.31
05/11/14,61.387,98.0043,76.9854,53.76
03/11/14,61.4118,98.0624,76.6665,54.48
31/10/2014,61.408,98.0624,77.1899,55.28
30/10/2014,61.4636,98.2127,77.4503,56.34
29/10/2014,61.3175,99.0032,78.143,56.76
28/10/2014,61.3524,98.9307,77.9237,56.89
27/10/2014,61.229,98.5297,77.7547,56.71
22/10/2014,61.2355,98.6688,77.965,57.27
21/10/2014,61.2967,99.1597,78.5885,57.63
20/10/2014,61.2873,98.6235,78.1536,57.14
17/10/2014,61.6165,99.1163,78.8938,58.02
16/10/2014,61.4795,98.2381,78.663,57.83
14/10/2014,61.1078,98.1513,77.6802,57.04
13/10/2014,61.2455,98.6849,77.6042,57.08
10/10/14,61.1624,98.6244,77.6701,56.74
09/10/14,61.0368,98.6355,77.7426,56.57
08/10/14,61.4648,98.7678,77.6546,56.69
07/10/14,61.3595,98.709,77.4664,56.5
01/10/14,61.7511,100.0677,77.9546,56.24
30/09/2014,61.6135,100.276,78.206,56.36
29/09/2014,61.4273,99.7272,77.9328,56.07
26/09/2014,61.572,100.4239,78.4489,56.45
25/09/2014,61.0245,99.4272,77.8429,55.87
24/09/2014,61.0293,99.9904,78.3738,56.17
23/09/2014,60.8708,99.6333,78.2251,55.98
22/09/2014,60.7875,99.2964,78.1606,55.83
19/09/2014,60.8055,100.0615,78.4695,55.73
18/09/2014,61.0558,99.5515,78.5727,56.13
17/09/2014,60.954,99.3245,78.9659,56.87
16/09/2014,61.1015,99.0455,79.0348,56.96
15/09/2014,60.9945,99.0978,79.0306,56.85
12/09/14,60.84,98.7251,78.6418,56.74
11/09/14,60.9155,98.6587,78.6358,56.96
10/09/14,60.8256,98.1482,78.6597,57.12
09/09/14,60.4277,97.2463,77.9276,56.88
08/09/14,60.2628,97.5112,77.9439,57.33
05/09/14,60.4385,98.6417,78.1953,57.36
04/09/14,60.454,99.4589,79.4607,57.6
03/09/14,60.5445,99.7289,79.5434,57.71
02/09/14,60.61,100.4853,79.5627,57.81
01/09/14,60.4735,100.4283,79.3957,58.06
28/08/2014,60.4745,100.3514,79.862,58.27
27/08/2014,60.4678,100.1468,79.6545,58.17
26/08/2014,60.496,100.3266,79.91,58.24
25/08/2014,60.427,100.1155,79.7436,58.01
22/08/2014,60.436,100.2391,80.3535,58.29
21/08/2014,60.767,100.7213,80.559,58.53
20/08/2014,60.669,100.8076,80.7255,58.8
19/08/2014,60.726,101.4792,81.0432,59.19
14/08/2014,61.0583,101.8391,81.5552,59.55
13/08/2014,61.2458,103.0154,81.899,59.91
12/08/14,61.1847,102.5578,81.7762,59.81
11/08/14,61.1165,102.5352,81.874,59.85
08/08/14,61.5575,103.5028,82.4125,60.64
07/08/14,61.4123,103.4245,82.1672,60.04
06/08/14,61.336,103.437,81.963,59.8
05/08/14,60.869,102.6738,81.6955,59.38
04/08/14,61.0187,102.6945,81.9061,59.41
01/08/14,60.851,102.6861,81.4615,59.11
31/07/2014,60.246,101.9242,80.6985,58.61
30/07/2014,60.1485,101.9216,80.636,58.9
28/07/2014,60.1013,102.04,80.7385,59
25/07/2014,60.1448,102.2161,81.0173,59.11
24/07/2014,60.002,102.1894,80.6785,59.13
23/07/2014,60.183,102.6842,81.0305,59.34
22/07/2014,60.236,102.865,81.4414,59.32
21/07/2014,60.1853,102.8687,81.4821,59.45
18/07/2014,60.33,103.1824,81.5848,59.54
17/07/2014,60.1401,103.0019,81.334,59.25
16/07/2014,60.1903,103.1361,81.656,59.19
15/07/2014,60.2195,102.7947,81.951,59.27
14/07/2014,60.005,102.7166,81.599,59.18
11/07/14,60.1855,103.1459,81.872,59.41
10/07/14,59.875,102.5898,81.6925,59
09/07/14,59.726,102.3584,81.38,58.79
08/07/14,59.7968,102.42,81.3225,58.73
07/07/14,59.9455,102.7826,81.3923,58.71
04/07/14,59.7939,102.6601,81.3203,58.6
03/07/14,59.7225,102.4539,81.5415,58.62
02/07/14,59.9745,102.8982,82.022,59.05
01/07/14,60.137,102.8343,82.283,59.27
30/06/2014,60.0933,102.3269,82.0094,59.28
27/06/2014,60.0958,102.3972,81.882,59.27
26/06/2014,60.1618,102.2329,82.044,59.12
25/06/2014,60.2785,102.2806,82.0475,59.15
24/06/2014,60.105,102.3228,81.752,58.94
23/06/2014,60.1927,102.5623,81.9065,59.05
20/06/2014,60.2785,102.7688,82.12,59.17
19/06/2014,60.0031,102.0473,81.7106,58.94
18/06/2014,60.124,102.0004,81.431,58.81
17/06/2014,60.368,102.4807,81.8665,59.21
16/06/2014,60.0059,101.998,81.2541,58.96
13/06/2014,59.4783,100.9347,80.712,58.28
12/06/14,59.3283,99.6834,80.3036,58.13
11/06/14,59.325,99.4168,80.32,57.99
10/06/14,59.2647,99.6299,80.5934,57.95
09/06/14,59.0605,99.3457,80.616,57.65
06/06/14,59.197,99.5161,80.8345,57.85
05/06/14,59.2973,99.3408,80.6999,57.83
04/06/14,59.336,99.1801,80.764,57.76
03/06/14,59.2125,99.1691,80.5645,57.88
02/06/14,59.1385,99.0215,80.6285,58.01
30/05/2014,59.0335,98.9106,80.335,58.1
29/05/2014,58.8415,98.4065,80.0315,57.85
28/05/2014,59.077,99.2021,80.53,57.98
27/05/2014,59.0585,99.614,80.6048,57.97
26/05/2014,58.5873,98.661,79.814,57.48
23/05/2014,58.483,98.6725,79.8058,57.57
22/05/2014,58.574,98.8788,80.05,57.62
21/05/2014,58.7725,99.0199,80.5684,58.09
20/05/2014,58.7455,98.7747,80.5261,57.93
19/05/2014,58.426,98.2842,80.117,57.67
16/05/2014,58.861,98.8217,80.7166,57.97
15/05/2014,59.4745,99.7031,81.5526,58.34
13/05/2014,59.8773,100.9831,82.4035,58.55
12/05/14,59.729,100.8166,82.2235,58.6
09/05/14,60.054,101.6534,83.0738,59.06
08/05/14,59.9913,101.7512,83.4805,58.96
07/05/14,60.0399,101.9658,83.584,59.17
06/05/14,60.202,101.6752,83.5532,59
05/05/14,60.0475,101.3181,83.3423,58.88
02/05/14,60.225,101.6839,83.459,58.77
30/04/2014,60.3375,101.4515,83.306,58.93
29/04/2014,60.5253,101.7733,83.916,59.01
28/04/2014,60.5041,101.6892,83.621,59.17
25/04/2014,61.1163,102.7059,84.522,59.73
23/04/2014,61.0683,102.7657,84.486,59.51
22/04/2014,60.7147,102.0432,83.7695,59.25
21/04/2014,60.335,101.405,83.3835,58.85
17/04/2014,60.3805,101.6325,83.5737,59.2
16/04/2014,60.2263,100.7887,83.291,58.91
15/04/2014,60.262,100.7099,83.27,59.14
11/04/14,60.267,101.0979,83.7385,59.2
10/04/14,60.2115,101.0469,83.334,59.18
09/04/14,60.074,100.5639,82.7896,58.88
07/04/14,59.9483,99.3583,82.1525,58.13
04/04/14,60.321,100.0363,82.6545,58.1
03/04/14,60.1245,100.0712,82.7412,57.87
02/04/14,59.6463,99.2097,82.392,57.48
28/03/2014,60.0998,99.8498,82.5765,58.83
27/03/2014,60.1295,99.6466,82.906,58.81
26/03/2014,60.1725,99.3929,83.0915,58.81
25/03/2014,60.4935,99.7719,83.6745,59.17
24/03/2014,60.703,100.1053,83.807,59.26
21/03/2014,61.0465,100.8061,84.1755,59.64
20/03/2014,61.131,101.1718,84.5925,59.76
19/03/2014,61.097,101.4149,85.0792,60.18
18/03/2014,60.9453,101.3703,84.8917,59.9
14/03/2014,61.517,102.2166,85.2265,60.57
13/03/2014,61.0155,101.6518,85.0232,59.46
12/03/14,61.09,101.5927,84.6545,59.39
11/03/14,60.6995,100.9675,84.159,58.78
10/03/14,61.1965,102.3511,84.945,59.34
07/03/14,60.985,102.0706,84.5255,59.22
06/03/14,61.3242,102.5402,84.1866,59.74
05/03/14,61.855,103.0566,84.9195,60.56
04/03/14,61.9045,103.2567,85.1365,60.84
03/03/14,61.8605,103.5235,85.3085,61.01
28/02/2014,62.072,103.6106,85.0285,60.99
26/02/2014,61.938,103.3126,85.1148,60.53
25/02/2014,61.9765,103.3086,85.1435,60.51
24/02/2014,62.1185,103.3838,85.3235,60.71
21/02/2014,62.1618,103.4435,85.2685,60.66
20/02/2014,62.2843,103.8404,85.6995,61.17
18/02/2014,62.122,103.9301,85.168,60.51
17/02/2014,61.9495,104.0194,84.9485,60.97
14/02/2014,62.277,103.6663,85.1755,61.22
13/02/2014,62.2725,103.4658,84.871,61.02
12/02/14,62.125,102.2515,84.7215,60.6
11/02/14,62.439,102.4811,85.2813,61.01
10/02/14,62.193,102.1396,84.7418,60.74
07/02/14,62.3155,101.7768,84.683,61.01
06/02/14,62.5045,101.9198,84.4994,61.59
05/02/14,62.4525,102.0099,84.3548,61.58
04/02/14,62.6815,101.9765,84.7805,62.12
03/02/14,62.6891,102.9668,84.578,61.41
31/01/2014,62.4768,102.9493,84.6022,60.96
30/01/2014,62.7335,103.8679,85.6075,61.22
29/01/2014,62.2005,103.116,84.964,60.22
28/01/2014,62.9898,104.6135,86.1715,61.36
27/01/2014,62.7145,103.504,85.8228,61.21
24/01/2014,62.177,103.3817,85.0894,60.14
23/01/2014,61.988,102.6707,83.9765,59.42
22/01/2014,61.92,101.976,83.9267,59.3
21/01/2014,61.5355,101.0844,83.375,58.87
20/01/2014,61.6345,101.2532,83.4245,59.19
17/01/2014,61.3518,100.212,83.5223,58.78
16/01/2014,61.5325,100.7349,83.8395,58.77
15/01/2014,61.5885,101.0914,83.9915,58.99
13/01/2014,61.52,101.4772,84.111,59.49
10/01/14,61.936,102.0643,84.305,59.01
09/01/14,62.181,102.3126,84.496,59.29
08/01/14,62.243,102.1719,84.8185,59.34
07/01/14,62.379,102.2454,84.972,59.71
06/01/14,62.3265,101.9911,84.6151,59.73
03/01/14,62.4075,102.5355,85.195,59.9
02/01/14,61.902,102.7418,85.1556,58.79
01/01/14,61.9335,102.3885,85.1235,58.83
31/12/2013,61.897,102.0094,85.3635,58.97
30/12/2013,62.0028,102.1682,85.1855,58.86
27/12/2013,62.0595,102.032,85.2748,59.23
26/12/2013,61.9755,101.4911,84.7925,59.15
24/12/2013,61.8668,101.1027,84.651,59.37
23/12/2013,61.9915,101.3747,84.818,59.58
20/12/2013,62.242,101.8092,84.8774,59.59
19/12/2013,62.38,102.1535,85.2945,59.98
